Year,Month,Country,Area,Type,Age,Sex,Activity,Fatal (Y/N)
2016,09,USA,Florida,Unprovoked,16,M,Surfing,N
2016,09,USA,Florida,Unprovoked,36,M,Surfing,N
2016,09,USA,Florida,Unprovoked,43,M,Surfing,N
2016,09,AUSTRALIA,Victoria,Unprovoked,Unknown,M,Surfing,N
2016,09,AUSTRALIA,Victoria,Unprovoked,Unknown,M,Surfing,N
2016,09,AUSTRALIA,Western Australia,Boat,Unknown,Unknown,Fishing,N
2016,09,USA,Florida,Unprovoked,60s,M,Wading,N
2016,09,USA,Hawaii,Unprovoked,51,F,Swimming,N
2016,09,USA,South Carolina,Unprovoked,12,F,Surfing,N
2016,09,AUSTRALIA,Western Australia,Unprovoked,Unknown,M,Surfing,N
2016,09,USA,Florida,Unprovoked,9,M,Surfing,N
2016,09,USA,California,Unprovoked,22,M,Spearfishing,N
2016,08,USA,Florida,Unprovoked,25,M,Surfing,N
2016,08,USA,Florida,Unprovoked,37,M,Surfing,N
2016,08,USA,Florida,Unprovoked,49,M,Wading,N
2016,08,USA,Florida,Unprovoked,22,M,Surfing,N
2016,07,AUSTRALIA,Western Australia,Boat,Unknown,M,Kayaking,N
2016,07,AUSTRALIA,New South Wales,Unprovoked,18,M,Surfing,N
2016,07,AUSTRALIA,Tasmania,Unprovoked,36,M,Surfing,N
2016,07,BAHAMAS,Abaco Islands,Unprovoked,Unknown,M,Spearfishing,N
2016,07,AUSTRALIA,Queensland,Provoked,31,M,Fishing,N
2016,07,USA,Florida,Unprovoked,9,F,Surfing,N
2016,07,USA,Florida,Unprovoked,11,F,Unknown,N
2016,07,USA,South Carolina,Unprovoked,Unknown,M,Swimming,N
2016,07,USA,Massachusetts,Provoked,59,M,Fishing,N
2016,07,USA,Florida,Unprovoked,42,F,Swimming,N
2016,07,AUSTRALIA,Queensland,Provoked,34,M,Fishing,N
2016,06,USA,South Carolina,Unprovoked,35,M,Unknown,N
2016,06,USA,North Carolina,Unprovoked,11,M,Surfing,N
2016,06,SOUTH AFRICA,Western Cape Province,Unprovoked,43,M,Spearfishing,N
2016,06,USA,Florida,Unprovoked,Unknown,M,Wading,N
2016,06,USA,Hawaii,Unprovoked,Unknown,M,Surfing,N
2016,06,AUSTRALIA,Western Australia,Provoked,19,M,Spearfishing,N
2016,06,USA,North Carolina,Unprovoked,19,M,Standing,N
2016,06,USA,South Carolina,Invalid,27,M,Surfing,N
2016,06,USA,Florida,Unprovoked,64,M,Swimming,N
2016,06,AUSTRALIA,Western Australia,Unprovoked,60,F,Diving,Y
2016,05,AUSTRALIA,Western Australia,Unprovoked,29,M,Surfing,Y
2016,05,USA,California,Unprovoked,52,F,Swimming,N
2016,05,USA,Florida,Unprovoked,13,M,Swimming,N
2016,05,USA,Florida,Unprovoked,57,F,Swimming,N
2016,05,USA,Florida,Unprovoked,22,F,Swimming,N
2016,05,USA,Florida,Unprovoked,11,F,Swimming,N
2016,05,USA,Florida,Unprovoked,48,M,Swimming,N
2016,05,NEW ZEALAND,North Island,Provoked,39,M,Fishing,N
2016,04,USA,Florida,Unprovoked,15,M,Surfing,N
2016,04,SOUTH AFRICA,Western Cape Province,Unprovoked,Unknown,M,Surfing,N
2016,04,AUSTRALIA,New South Wales,Unprovoked,12,M,Swimming,N
2016,04,USA,Florida,Unprovoked,26,M,Spearfishing,N
2016,04,USA,Florida,Unprovoked,34,M,Fishing,N
2016,03,USA,Hawaii,Unprovoked,46,F,Snorkeling,N
2016,03,AUSTRALIA,New South Wales,Unprovoked,22,M,Surfing,N
2016,03,USA,Florida,Unprovoked,Teen,M,Unknown,N
2016,03,AUSTRALIA,New South Wales,Unprovoked,41,M,Surfing,N
2016,03,USA,California,Invalid,Unknown,Unknown,Surfing,N
2016,03,USA,Florida,Unprovoked,19,M,Surfing,N
2016,03,USA,Florida,Unprovoked,12,M,Unknown,N
2016,03,AUSTRALIA,South Australia,Unprovoked,Unknown,M,Fishing,N
2016,02,NEW CALEDONIA,South Province,Unprovoked,31,M,Spearfishing,N
2016,02,AUSTRALIA,Tasmania,Invalid,Unknown,M,Surfing,N
2016,02,AUSTRALIA,Queensland,Unprovoked,45,F,Walking,N
2016,02,AUSTRALIA,New South Wales,Unprovoked,40,M,Surfing,N
2016,01,USA,Hawaii,Unprovoked,Unknown,M,Surfing,N
2016,01,USA,Hawaii,Unprovoked,15,F,Surfing,N
2016,01,USA,Texas,Unprovoked,Unknown,M,Spearfishing,N
2016,01,AUSTRALIA,Queensland,Unprovoked,Unknown,M,Surfing,N
2016,01,AUSTRALIA,Queensland,Unprovoked,11,M,Wading,N
2016,01,AUSTRALIA,Queensland,Unprovoked,31,M,Spearfishing,N
2015,12,SOUTH AFRICA,KwaZulu-Natal,Boat,Unknown,M,Kayaking,N
2015,12,AUSTRALIA,New South Wales,Unprovoked,43,M,Surfing,N
2015,12,AUSTRALIA,New South Wales,Boat,Unknown,Unknown,Fishing,N
2015,11,USA,Florida,Unprovoked,Unknown,M,Surfing,N
2015,11,USA,Florida,Unprovoked,Unknown,F,Swimming,N
2015,11,USA,Florida,Unprovoked,28,M,Surfing,N
2015,11,AUSTRALIA,New South Wales,Unprovoked,20,M,Surfing,N
2015,12,USA,Florida,Invalid,9,F,Surfing,N
2015,11,USA,Hawaii,Unprovoked,54,M,Swimming,N
2015,11,USA,Florida,Unprovoked,28,F,Wading,N
2015,11,MOZAMBIQUE,Inhambane Province,Unprovoked,19,M,Fishing,N
2015,10,AUSTRALIA,Western Australia,Unprovoked,50,M,Spearfishing,N
2015,10,USA,Hawaii,Unprovoked,10,M,Surfing,N
2015,10,SOUTH AFRICA,Western Cape Province,Unprovoked,42,M,Surfing,N
2015,10,USA,Florida,Unprovoked,21,M,Surfing,N
2015,10,USA,Florida,Unprovoked,21,M,Surfing,N
2015,10,USA,Hawaii,Invalid,32,M,Surfing,N
2015,10,USA,Hawaii,Unprovoked,44,M,Swimming,N
2015,10,USA,California,Boat,Unknown,M,Kayaking,N
2015,10,USA,South Carolina,Unprovoked,9,F,Surfing,N
2015,10,USA,Hawaii,Unprovoked,25,M,Surfing,N
2015,10,MOZAMBIQUE,Inhambane Province,Unprovoked,Unknown,M,Fishing,N
2015,10,AUSTRALIA,Western Australia,Unprovoked,18,M,Surfing,N
2015,10,USA,Florida,Unprovoked,22,M,Surfing,N
2015,10,USA,Texas,Unprovoked,13,M,Wading,N
2015,10,USA,Florida,Unprovoked,14,M,Surfing,N
2015,09,USA,Florida,Unprovoked,22,M,Surfing,N
2015,09,AUSTRALIA,Queensland,Unprovoked,7,F,Snorkeling,N
2015,09,USA,Florida,Unprovoked,14,M,Surfing,N
2015,09,USA,Hawaii,Unprovoked,27,M,Spearfishing,N
2015,09,USA,Florida,Unprovoked,12,M,Wading,N
2015,09,USA,Florida,Unprovoked,Unknown,M,Swimming,N
2015,09,USA,Florida,Unprovoked,20,M,Surfing,N
2015,09,AUSTRALIA,New South Wales,Unprovoked,42,M,Surfing,N
2015,09,USA,California,Provoked,29,M,Kayaking,N
2015,09,AUSTRALIA,New South Wales,Unprovoked,62,M,Surfing,N
2015,09,USA,South Carolina,Unprovoked,Unknown,M,Unknown,N
2015,08,USA,California,Unprovoked,54,F,Surfing,N
2015,08,USA,California,Unprovoked,21,M,Surfing,N
2015,08,USA,Florida,Invalid,Unknown,M,Unknown,N
2015,08,AUSTRALIA,New South Wales,Unprovoked,38,M,Surfing,N
2015,08,USA,South Carolina,Unprovoked,15,M,Surfing,N
2015,08,USA,Florida,Unprovoked,10,F,Walking,N
2015,08,USA,California,Unprovoked,22,M,Kayaking,N
2015,08,USA,California,Provoked,57,M,Spearfishing,N
2015,07,AUSTRALIA,New South Wales,Unprovoked,52,M,Surfing,N
2015,07,USA,Florida,Unprovoked,25,M,Surfing,N
2015,07,USA,California,Provoked,31,M,Kayaking,N
2015,07,AUSTRALIA,Victoria,Unprovoked,40s,M,Surfing,N
2015,07,SOUTH AFRICA,Eastern Cape Province,Unprovoked,34,M,Surfing,N
2015,07,USA,California,Unprovoked,38,M,Surfing,N
2015,07,USA,California,Invalid,39,M,Treading water,N
2015,07,BAHAMAS,Grand Bahama Island,Unprovoked,23,F,Spearfishing,N
2015,07,USA,North Carolina,Unprovoked,32,M,Unknown,N
2015,07,AUSTRALIA,New South Wales,Unprovoked,52,M,Surfing,N
2015,07,USA,North Carolina,Unprovoked,68,M,Swimming,N
2015,06,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Surfing,N
2015,06,USA,North Carolina,Unprovoked,18,M,Swimming,N
2015,06,USA,Florida,Invalid,Unknown,F,Swimming,N
2015,06,SOUTH AFRICA,Western Cape Province,Unprovoked,23,M,Surfing,N
2015,06,USA,South Carolina,Unprovoked,43,M,Standing,N
2015,06,AUSTRALIA,Western Australia,Provoked,19,M,Swimming,N
2015,06,USA,North Carolina,Unprovoked,6,M,Swimming,N
2015,06,AUSTRALIA,Western Australia,Invalid,37,F,Surfing,N
2015,06,USA,South Carolina,Unprovoked,9,M,Standing,N
2015,06,USA,Florida,Unprovoked,10,M,Swimming,N
2015,06,USA,North Carolina,Unprovoked,16,M,Wading,N
2015,06,USA,North Carolina,Unprovoked,12,F,Wading,N
2015,06,USA,California,Unprovoked,Unknown,F,Unknown,N
2015,06,USA,North Carolina,Unprovoked,13,F,Surfing,N
2015,05,USA,Florida,Unprovoked,14,F,Standing,N
2015,05,USA,Florida,Unprovoked,19,F,Wading,N
2015,05,USA,Florida,Unprovoked,13,F,Swimming,N
2015,05,USA,Florida,Unprovoked,18,M,Surfing,N
2015,05,USA,South Carolina,Unprovoked,30,M,Unknown,N
2015,05,USA,Florida,Unprovoked,Unknown,M,Swimming,N
2015,05,AUSTRALIA,New South Wales,Unprovoked,Unknown,M,Surfing,N
2015,05,SOUTH AFRICA,Eastern Cape Province,Unprovoked,29,M,Diving,N
2015,04,USA,Hawaii,Unprovoked,65,F,Snorkeling,Y
2015,04,USA,Florida,Unprovoked,63,M,Wading,N
2015,04,AUSTRALIA,South Australia,Unprovoked,26,M,Surfing,N
2015,04,USA,Florida,Unprovoked,70,M,Spearfishing,N
2015,03,SOUTH AFRICA,Eastern Cape Province,Boat,36,M,Kayaking,N
2015,03,AUSTRALIA,New South Wales,Boat,Unknown,M,Fishing,N
2015,02,AUSTRALIA,New South Wales,Unprovoked,41,M,Surfing,Y
2015,02,AUSTRALIA,New South Wales,Unprovoked,35,M,Surfing,N
